id,name,member_count,admin_count,bot_role,is_bot_admin,restrict,owner
120363424317895278@g.us,CSR Auto Alert,1,1,member,FALSE,FALSE,174955610247394@lid
120363409220972193@g.us,DWDM Auto Alert,1,1,member,FALSE,FALSE,174955610247394@lid
120363408383931070@g.us,TSS,1,1,member,FALSE,FALSE,187050691162165@lid
120363405163266251@g.us,OP OWS - PMT-CMT Developer,3,3,member,FALSE,FALSE,88459783999618@lid
120363163849571648@g.us,NOC and Region,2,2,member,FALSE,FALSE,151608184823875@lid
120363292906461361@g.us,Notif-01,1,1,member,FALSE,FALSE,92011520647361@lid
120363197698867260@g.us,ALERT_P2_KALSEL_KALTENG,2,2,member,FALSE,FALSE,62796834332716@lid
120363030333530113@g.us,ALERT_ALARM_PADANG_INNER,3,2,member,FALSE,FALSE,62796834332716@lid
120363216007480430@g.us,ALERT_P3_KAL_PLGKARAYA,3,1,member,FALSE,FALSE,62796834332716@lid
120363323868180167@g.us,CCH Modern Channel Alert,3,2,member,FALSE,FALSE,41773036511391@lid
120363047132316087@g.us,ALERT_ALARM_MUARA_BUNGO,3,2,member,FALSE,FALSE,62796834332716@lid
120363308010231793@g.us,VIP Proactive Experience Alert,3,2,member,FALSE,FALSE,41773036511391@lid
120363214098051559@g.us,ALERT_P3_KAL_BJM_OUTER,3,3,member,FALSE,FALSE,62796834332716@lid
120363197960518724@g.us,ALERT_P3_KALTIM_UTARA,4,4,member,FALSE,FALSE,62796834332716@lid
120363044910576950@g.us,ALERT_ALARM_SOLOK,4,3,member,FALSE,FALSE,62796834332716@lid
120363162785750243@g.us,P2_RM_JAM_SUMBAR,4,3,member,FALSE,FALSE,228170288607366@lid
120363163875990244@g.us,P3_RTS_SOLO,4,3,member,FALSE,FALSE,228170288607366@lid
120363197388392496@g.us,ALERT_P3_KAL_BJM_INNER,4,3,member,FALSE,FALSE,62796834332716@lid
120363145307138246@g.us,P2_RM_PLB_SS_OTR_BKL,4,3,member,FALSE,FALSE,228170288607366@lid
6287889523323-1507659338@g.us,My Notes,4,1,member,FALSE,FALSE,174955610247394@lid
120363197514054556@g.us,ALERT_P3_KALBAR,4,4,member,FALSE,FALSE,62796834332716@lid
120363143582884260@g.us,P2_RM_MLG_JBR,4,3,member,FALSE,FALSE,228170288607366@lid
120363370100397495@g.us,Alert Info,4,3,member,FALSE,FALSE,26877938954338@lid
120363163145276518@g.us,P3_RTS_BALI_OUT_GYR,4,3,member,FALSE,FALSE,228170288607366@lid
120363161439152978@g.us,P2_RM_JAKU_JAKT,4,3,member,FALSE,FALSE,228170288607366@lid
120363163273511487@g.us,P2_RM_DPS_SBW,4,3,member,FALSE,FALSE,228170288607366@lid
120363144231600820@g.us,P2_RM_KEPRI_RIDAR,4,3,member,FALSE,FALSE,228170288607366@lid
120363405801340901@g.us,Daily Dashboard Report,4,1,member,FALSE,FALSE,36163809202177@lid
120363146777018167@g.us,P3_RTS_SEMARANG,4,3,member,FALSE,FALSE,228170288607366@lid
120363321974918834@g.us,CCH Ticket Increment Alert,4,3,member,FALSE,FALSE,41773036511391@lid
120363161714329159@g.us,P3_RTS_SIDOARJO,4,3,member,FALSE,FALSE,228170288607366@lid
120363162495746862@g.us,P3_RTS_KUDUS,4,3,member,FALSE,FALSE,228170288607366@lid
